scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
function,gaussian_bump,3,GD,gaussian_bump,0.0,1,40,121,0.0009461980650943686,0.0009461980650943686,0.0009461980650943686,0.0009335199484178649,0.065,0.1955892499536276,2000.0,
function,gaussian_bump,3,MC,gaussian_bump,0.0,1,40,121,0.022581466723823034,0.022581466723823034,0.022581466723823034,0.02246548820799888,0.73,0.1284831751603633,2000.0,0.12079999999999999
function,gaussian_bump,4,GD,gaussian_bump,0.0,1,40,121,0.000478825147663667,0.000478825147663667,0.000478825147663667,0.00047745851671946794,0.0,0.19804300018586218,2000.0,
function,gaussian_bump,4,MC,gaussian_bump,0.0,1,40,121,0.02234891729622431,0.02234891729622431,0.02234891729622431,0.022177754616822913,0.765,0.13247485021129252,2000.0,0.1136
function,gaussian_bump,5,GD,gaussian_bump,0.0,1,40,121,0.0004504908415531776,0.0004504908415531776,0.0004504908415531776,0.0004411268651979961,0.0,0.21868745889514685,2000.0,
function,gaussian_bump,5,MC,gaussian_bump,0.0,1,40,121,0.018764486589104533,0.018764486589104533,0.018764486589104533,0.01859063810736029,0.6980000000000001,0.13518489194102584,2000.0,0.11040000000000001
function,gaussian_bump,6,GD,gaussian_bump,0.0,1,40,121,0.0015904701180702754,0.0015904701180702754,0.0015904701180702754,0.001559135756554418,0.18,0.19894633279182017,2000.0,
function,gaussian_bump,6,MC,gaussian_bump,0.0,1,40,121,0.015362726745300426,0.015362726745300426,0.015362726745300426,0.015237406778810903,0.717,0.12919810018502176,2000.0,0.1133
function,gaussian_bump,7,GD,gaussian_bump,0.0,1,40,121,0.0006348161593028299,0.0006348161593028299,0.0006348161593028299,0.0006260022496073001,0.005,0.19418016681447625,2000.0,
function,gaussian_bump,7,MC,gaussian_bump,0.0,1,40,121,0.014213405556473352,0.014213405556473352,0.014213405556473352,0.014101790577554878,0.705,0.1322438668925315,2000.0,0.11420000000000001
function,gaussian_bump,8,GD,gaussian_bump,0.0,1,40,121,0.0006602276647009855,0.0006602276647009855,0.0006602276647009855,0.000646946518508523,0.005,0.21388450008817017,2000.0,
function,gaussian_bump,8,MC,gaussian_bump,0.0,1,40,121,0.022447163314301306,0.022447163314301306,0.022447163314301306,0.02218598453316186,0.7390000000000001,0.12753134169615804,2000.0,0.11510000000000001
function,gaussian_bump,9,GD,gaussian_bump,0.0,1,40,121,0.00044312127470686814,0.00044312127470686814,0.00044312127470686814,0.00043304332876063333,0.0,0.19304495817050338,2000.0,
function,gaussian_bump,9,MC,gaussian_bump,0.0,1,40,121,0.01522654654859133,0.01522654654859133,0.01522654654859133,0.015001779879856519,0.736,0.12332922522909939,2000.0,0.1159
function,gaussian_bump,10,GD,gaussian_bump,0.0,1,40,121,0.0009230744051695587,0.0009230744051695587,0.0009230744051695587,0.0009033851576667383,0.1,0.20614520786330104,2000.0,
function,gaussian_bump,10,MC,gaussian_bump,0.0,1,40,121,0.021491232121965263,0.021491232121965263,0.021491232121965263,0.021180356068021745,0.732,0.12752929162234067,2000.0,0.1091
function,gaussian_bump,11,GD,gaussian_bump,0.0,1,40,121,0.0004431148508495674,0.0004431148508495674,0.0004431148508495674,0.0004416421160090801,0.0,0.18547458294779062,2000.0,
function,gaussian_bump,11,MC,gaussian_bump,0.0,1,40,121,0.010480729098323613,0.010480729098323613,0.010480729098323613,0.010365463425642516,0.65,0.12429970018565654,2000.0,0.1147
function,mixed_surface,0,GD,mixed_surface,0.0,1,40,161,0.11461638160833518,0.11461638160833518,0.11461638160833518,0.10552815372678849,0.8832,0.45189754106104374,2000.0,
function,mixed_surface,0,MC,mixed_surface,0.0,1,40,161,0.16250584947664912,0.16250584947664912,0.16250584947664912,0.16368390442408093,0.90464,0.26787152523174884,2000.0,0.036
